dataset,seed,algo,metric,model_id,mean_test_,std_test_,params
Adult,111,XGBClassifier,accuracy,8,0.866926691441,0.00563068807923,"{'colsample_bytree': 0.86900124541044066, 'gamma': 2.1049924581368176, 'learning_rate': 0.85206457718643547, 'max_depth': 3, 'min_child_weight': 8.1923283466419132, 'n_estimators': 39, 'reg_alpha': 11.619779341850629, 'reg_lambda': 20, 'subsample': 0.9003944179579163}"
Adult,111,XGBClassifier,accuracy,4,0.864654033967,0.00412967420756,"{'colsample_bytree': 0.96822823759893117, 'gamma': 3.6077620064287794, 'learning_rate': 0.8997204066587916, 'max_depth': 11, 'min_child_weight': 19.197911834329673, 'n_estimators': 30, 'reg_alpha': 1.9464979068715309, 'reg_lambda': 13, 'subsample': 0.8665556736882436}"
Adult,111,XGBClassifier,accuracy,6,0.858695985996,0.00291960356049,"{'colsample_bytree': 0.86861133982662841, 'gamma': 2.1609865570439748, 'learning_rate': 0.1600379726637749, 'max_depth': 9, 'min_child_weight': 9.7673407588582783, 'n_estimators': 19, 'reg_alpha': 32.89757176103668, 'reg_lambda': 86, 'subsample': 0.9701258944997091}"
Adult,111,XGBClassifier,f1,4,0.697580352903,0.00722598806431,"{'colsample_bytree': 0.96822823759893117, 'gamma': 3.6077620064287794, 'learning_rate': 0.8997204066587916, 'max_depth': 11, 'min_child_weight': 19.197911834329673, 'n_estimators': 30, 'reg_alpha': 1.9464979068715309, 'reg_lambda': 13, 'subsample': 0.8665556736882436}"
Adult,111,XGBClassifier,f1,8,0.697137575533,0.0136337764102,"{'colsample_bytree': 0.86900124541044066, 'gamma': 2.1049924581368176, 'learning_rate': 0.85206457718643547, 'max_depth': 3, 'min_child_weight': 8.1923283466419132, 'n_estimators': 39, 'reg_alpha': 11.619779341850629, 'reg_lambda': 20, 'subsample': 0.9003944179579163}"
Adult,111,XGBClassifier,f1,2,0.676281737914,0.0111719823367,"{'colsample_bytree': 0.9468356101664871, 'gamma': 0.27447959813153733, 'learning_rate': 0.50413664315846995, 'max_depth': 10, 'min_child_weight': 102.05951505901587, 'n_estimators': 42, 'reg_alpha': 17.834663182518256, 'reg_lambda': 92, 'subsample': 0.61018859658869928}"
Adult,111,XGBClassifier,neg_log_loss,8,-0.293227672651,0.0058966972684,"{'colsample_bytree': 0.86900124541044066, 'gamma': 2.1049924581368176, 'learning_rate': 0.85206457718643547, 'max_depth': 3, 'min_child_weight': 8.1923283466419132, 'n_estimators': 39, 'reg_alpha': 11.619779341850629, 'reg_lambda': 20, 'subsample': 0.9003944179579163}"
Adult,111,XGBClassifier,neg_log_loss,4,-0.295678183852,0.00513540393046,"{'colsample_bytree': 0.96822823759893117, 'gamma': 3.6077620064287794, 'learning_rate': 0.8997204066587916, 'max_depth': 11, 'min_child_weight': 19.197911834329673, 'n_estimators': 30, 'reg_alpha': 1.9464979068715309, 'reg_lambda': 13, 'subsample': 0.8665556736882436}"
Adult,111,XGBClassifier,neg_log_loss,2,-0.310511220075,0.00513312064142,"{'colsample_bytree': 0.9468356101664871, 'gamma': 0.27447959813153733, 'learning_rate': 0.50413664315846995, 'max_depth': 10, 'min_child_weight': 102.05951505901587, 'n_estimators': 42, 'reg_alpha': 17.834663182518256, 'reg_lambda': 92, 'subsample': 0.61018859658869928}"
Adult,111,CatBoostClassifier,accuracy,4,0.867203095728,0.00291552663065,"{'depth': 5, 'iterations': 46, 'l2_leaf_reg': 86, 'learning_rate': 0.84396256047962848, 'random_strength': 8.4556964872428129, 'rsm': 0.81520745745294065}"
Adult,111,CatBoostClassifier,accuracy,5,0.864930438254,0.00383363198906,"{'depth': 6, 'iterations': 36, 'l2_leaf_reg': 38, 'learning_rate': 0.89380186955457119, 'random_strength': 7.3120188758759106, 'rsm': 0.27030569335406984}"
Adult,111,CatBoostClassifier,accuracy,0,0.858481004883,0.00391814081004,"{'depth': 7, 'iterations': 47, 'l2_leaf_reg': 84, 'learning_rate': 0.35178945091410735, 'random_strength': 8.5890645838724424, 'rsm': 0.29771597903464209}"
Adult,111,CatBoostClassifier,f1,4,0.697652326373,0.00766791308288,"{'depth': 5, 'iterations': 46, 'l2_leaf_reg': 86, 'learning_rate': 0.84396256047962848, 'random_strength': 8.4556964872428129, 'rsm': 0.81520745745294065}"
Adult,111,CatBoostClassifier,f1,5,0.692559485519,0.00968411905718,"{'depth': 6, 'iterations': 36, 'l2_leaf_reg': 38, 'learning_rate': 0.89380186955457119, 'random_strength': 7.3120188758759106, 'rsm': 0.27030569335406984}"
Adult,111,CatBoostClassifier,f1,3,0.672674459679,0.0118272917591,"{'depth': 9, 'iterations': 15, 'l2_leaf_reg': 45, 'learning_rate': 0.77029827882514457, 'random_strength': 3.8606000511622236, 'rsm': 0.62423656935958238}"
Adult,111,CatBoostClassifier,neg_log_loss,4,-0.290500545956,0.00365875013453,"{'depth': 5, 'iterations': 46, 'l2_leaf_reg': 86, 'learning_rate': 0.84396256047962848, 'random_strength': 8.4556964872428129, 'rsm': 0.81520745745294065}"
Adult,111,CatBoostClassifier,neg_log_loss,5,-0.294818841819,0.00447851014588,"{'depth': 6, 'iterations': 36, 'l2_leaf_reg': 38, 'learning_rate': 0.89380186955457119, 'random_strength': 7.3120188758759106, 'rsm': 0.27030569335406984}"
Adult,111,CatBoostClassifier,neg_log_loss,0,-0.302628336921,0.00395265816605,"{'depth': 7, 'iterations': 47, 'l2_leaf_reg': 84, 'learning_rate': 0.35178945091410735, 'random_strength': 8.5890645838724424, 'rsm': 0.29771597903464209}"
